#ProfileFileVersion=3.1
#ProfilerVersion=3.1.10103
#API=OpenCL
#Application=C:/Users/irinaartemieva/Desktop/OpenCL-Motion-Compensation-master/x64/Release/testproject.exe
#ApplicationArgs=
#WorkingDirectory=C:/Users/irinaartemieva/Desktop/OpenCL-Motion-Compensation-master/testproject
#Device Cayman Platform Vendor=Advanced Micro Devices, Inc.
#Device Cayman Platform Name=AMD Accelerated Parallel Processing
#Device Cayman Platform Version=OpenCL 2.0 AMD-APP (1800.11)
#Device Cayman CLDriver Version=1800.11 (VM)
#Device Cayman CLRuntime Version=OpenCL 1.2 AMD-APP (1800.11)
#Device Cayman NumberAppAddressBits=32
#Device Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz Platform Vendor=Advanced Micro Devices, Inc.
#Device Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz Platform Name=AMD Accelerated Parallel Processing
#Device Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz Platform Version=OpenCL 2.0 AMD-APP (1800.11)
#Device Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz CLDriver Version=1800.11 (sse2,avx)
#Device Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz CLRuntime Version=OpenCL 1.2 AMD-APP (1800.11)
#Device Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz NumberAppAddressBits=64
#OS Version=Windows 7 Build 6.1.7601
#DisplayName=Feb-22-2018_11-57-37
#ListSeparator=;
#ForceSinglePass=False

| Description | Value |
| --- | --- |
| Method           | motion_comp_local__k1_Cayman1 |
| ExecutionOrder   | 1                             |
| ThreadID         | 5036                          |
| CallIndex        | 20                            |
| GlobalWorkSize   | { 1280 720 1 }                |
| WorkGroupSize    | { 8 8 1}                      |
| Time             | 214.78022                     |
| LocalMemSize     | 10368                         |
| VGPRs            | 18                            |
| SGPRs            | NA                            |
| ScratchRegs      | 0                             |  
| FCStacks         | 4                             |
| Wavefronts       | 14400.00                      |
| ALUInsts         | 46088.52                      |
| FetchInsts       | 10.00                         |
| WriteInsts       | 17.26                         |
| LDSFetchInsts    | 20231.00                      |
| LDSWriteInsts    | 41.26                         |
| ALUBusy          | 72.97                         |
| ALUFetchRatio    | 4608.85                       |
| ALUPacking       | 73.03                         |
| FetchSize        | 7352.50                       |
| CacheHit         | 76.75                         |
| FetchUnitBusy    | 0.06                          |
| FetchUnitStalled | 0.00                          |
| WriteUnitStalled | 0.00                          |
| FastPath         | 8834.00                       |
| CompletePath     | 0.00                          |
| PathUtilization  | 100.00                        |
| LDSBankConflict  | 0.22                          |     
